uuid,Label
1,1
2,1
3,1
4,1
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,1
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,1
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,1
63,1
64,1
65,1
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,1
125,1
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,0
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,1
179,0
180,0
181,1
182,0
183,0
184,1
185,0
186,0
187,0
188,0
189,1
190,0
191,0
192,1
193,1
194,1
195,1
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,0
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,0
244,1
245,0
246,0
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,1
263,1
264,0
265,0
266,0
267,0
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,0
279,0
280,1
281,1
282,0
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,0
298,1
299,1
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,0
317,0
318,0
319,0
320,0
321,0
322,1
323,1
324,1
325,1
326,0
327,0
328,1
329,1
330,0
331,1
332,1
333,0
334,1
335,1
336,1
337,0
338,0
339,1
340,0
341,1
342,0
343,0
344,0
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
